date,close,rate,mean,pos,neg,neu
2022/12/30,131.11,-1.4285,-0.56,0,1,0
2023/1/2,130.73,0,0,0,0,0
2023/1/3,131,0,0,0,0,0
2023/1/4,132.62,0,0,0,0,0
2023/1/5,133.4,0,0,0,0,0
2023/1/6,132.07,0,0,0,0,0
2023/1/9,131.88,0,0,0,0,0
2023/1/10,132.25,0,0,0,0,0
2023/1/11,132.47,0,0,0,0,0
2023/1/12,129.22,-2.4534,-0.8083,0,1,0
2023/1/13,127.88,-1.037,-0.4944,0,1,0
2023/1/16,128.54,0.5161,0.08,1,0,0
2023/1/17,128.13,-0.319,0.1,1,0,0
2023/1/18,128.88,0.5853,0.3808,1,0,0
2023/1/19,128.42,-0.3569,-0.35,0,1,0
2023/1/20,129.57,0.8955,0.38,1,0,0
2023/1/23,130.66,0.8412,0.1833,1,0,0
2023/1/24,130.15,-0.3903,0.25,1,0,0
2023/1/25,129.59,-0.4303,-0.3,0,1,0
2023/1/26,130.21,0.4784,0.2,1,0,0
2023/1/27,129.85,-0.2765,-0.3,0,1,0
2023/1/30,130.44,0.4544,-0.05,0,1,0
2023/1/31,130.09,-0.2683,0,0,0,1
2023/2/1,128.93,-0.8917,-0.3,0,1,0
2023/2/2,128.65,-0.2172,-0.275,0,1,0
2023/2/3,131.17,1.9588,0.4667,1,0,0
2023/2/6,132.65,1.1283,0.1625,1,0,0
2023/2/7,131.05,-1.2062,-0.35,0,1,0
2023/2/8,131.37,0.2442,-0.5,0,1,0
2023/2/9,131.56,0.1446,-0.1,0,1,0
2023/2/10,131.41,-0.114,-0.2615,0,1,0
2023/2/13,132.4,0.7534,0.3,1,0,0
2023/2/14,133.11,0.5363,0.05,1,0,0
2023/2/15,134.11,0.7513,0.5,1,0,0
2023/2/16,133.94,-0.1268,0.35,1,0,0
2023/2/17,134.15,0.1568,0.44,1,0,0
2023/2/20,134.23,0.0596,0,0,0,1
2023/2/21,134.99,0.5662,0.25,1,0,0
2023/2/22,134.9,0,0,0,0,0
2023/2/23,134.7,-0.1483,0.2,1,0,0
2023/2/24,136.46,1.3066,0.175,1,0,0
2023/2/27,136.2,-0.1905,-0.15,0,1,0
2023/2/28,136.2,0,0.1,1,0,0
2023/3/1,136.16,-0.0294,-0.1667,0,1,0
2023/3/2,136.76,0.4407,0.3,1,0,0
2023/3/3,135.86,-0.6581,-0.2,0,1,0
2023/3/6,135.91,0,0,0,0,0
2023/3/7,137.14,0,0,0,0,0
2023/3/8,137.34,0,0,0,0,0
2023/3/9,136.14,0,0,0,0,0
2023/3/10,134.98,0,0,0,0,0
2023/3/13,133.18,0,0,0,0,0
2023/3/14,134.22,0.7809,0.6,1,0,0
2023/3/15,133.4,-0.6109,-0.175,0,1,0
2023/3/16,133.72,0.2399,-0.1,0,1,0
2023/3/17,131.79,-1.4433,-0.4,0,1,0
2023/3/20,131.31,-0.3642,-0.3,0,1,0
2023/3/21,132.49,0.8986,0.1,1,0,0
2023/3/22,131.44,-0.7925,0.2667,1,0,0
2023/3/23,130.81,-0.4793,-0.375,0,1,0
2023/3/24,130.69,-0.0917,-0.45,0,1,0
2023/3/27,131.56,0.6657,0.2,1,0,0
2023/3/28,130.86,-0.5321,-0.35,0,1,0
2023/3/29,132.84,1.5131,0.4,1,0,0
2023/3/30,132.65,-0.143,0.2,1,0,0
2023/3/31,132.79,0,0,0,0,0
2023/4/3,132.41,-0.2862,0.15,1,0,0
2023/4/4,131.69,-0.5438,0.1,1,0,0
2023/4/5,131.31,-0.2886,-0.3,0,1,0
2023/4/6,131.76,0.3427,0,0,0,1
2023/4/7,132.13,0.2808,0.4,1,0,0
2023/4/10,133.6,1.1125,0.55,1,0,0
2023/4/11,133.65,0.0374,-0.2,0,1,0
2023/4/12,133.12,-0.3966,0.5,1,0,0
2023/4/13,132.56,-0.4207,-0.3,0,1,0
2023/4/14,133.77,0.9128,0.2,1,0,0
2023/4/17,134.46,0.5158,0.3,1,0,0
2023/4/18,134.09,0,0,0,0,0
2023/4/19,134.69,0.4475,0.6,1,0,0
2023/4/20,134.23,-0.3415,-0.3,0,1,0
2023/4/21,134.15,-0.0596,-0.3,0,1,0
2023/4/24,134.22,0,0,0,0,0
2023/4/25,133.71,0,0,0,0,0
2023/4/26,133.66,-0.0374,-0.3,0,1,0
2023/4/27,133.94,0.2095,0.2,1,0,0
2023/4/28,136.28,1.7471,0.7,1,0,0
2023/5/1,137.48,0,0,0,0,0
2023/5/2,136.53,-0.691,-0.3,0,1,0
2023/5/3,134.68,-1.355,-0.5,0,1,0
2023/5/4,134.27,-0.3044,-0.3,0,1,0
2023/5/5,134.83,0.4171,0.4,1,0,0
2023/5/8,135.08,0,0,0,0,0
2023/5/9,135.21,0,0,0,0,0
2023/5/10,134.34,-0.6434,-0.3,0,1,0
2023/5/11,134.54,0,0,0,0,0
2023/5/12,135.71,0,0,0,0,0
2023/5/15,136.11,0,0,0,0,0
2023/5/16,136.37,0,0,0,0,0
2023/5/17,137.67,0,0,0,0,0
2023/5/18,138.71,0.7554,0.2,1,0,0
2023/5/19,137.95,-0.5479,-0.3,0,1,0
2023/5/22,138.6,0.4712,0.3,1,0,0
2023/5/23,138.58,-0.0144,0.5,1,0,0
2023/5/24,139.46,0.635,0.5,1,0,0
2023/5/25,140.05,0.4231,-0.2,0,1,0
2023/5/26,140.62,0.407,0.6,1,0,0
2023/5/29,140.44,0,0,0,0,0
2023/5/30,139.79,-0.4628,-0.3,0,1,0
2023/5/31,139.34,-0.3219,0.1,1,0,0
2023/6/1,138.79,0,0,0,0,0
2023/6/2,139.94,0.8286,0.3,1,0,0
2023/6/5,139.54,0,0,0,0,0
2023/6/6,139.63,0,0,0,0,0
2023/6/7,140.11,0,0,0,0,0
2023/6/8,138.91,-0.8565,-0.4,0,1,0
2023/6/9,139.34,0.3096,0.3,1,0,0
2023/6/12,139.6,0,0,0,0,0
2023/6/13,140.21,0,0,0,0,0
2023/6/14,140.09,-0.0856,-0.3,0,1,0
2023/6/15,140.27,0.1285,0.375,1,0,0
2023/6/16,141.82,1.105,0.1,1,0,0
2023/6/19,141.98,0,0,0,0,0
2023/6/20,141.44,0,0,0,0,0
2023/6/21,141.88,0,0,0,0,0
2023/6/22,143.11,0,0,0,0,0
2023/6/23,143.68,0,0,0,0,0
2023/6/26,143.5,-0.1253,-0.4,0,1,0
2023/6/27,144.07,0.3972,0.6,1,0,0
2023/6/28,144.46,0,0,0,0,0
2023/6/29,144.77,0.2146,-0.1,0,1,0
2023/6/30,144.32,-0.3108,0.5,1,0,0
2023/7/3,144.66,0.2356,-0.2,0,1,0
2023/7/4,144.45,0,0,0,0,0
2023/7/5,144.64,0,0,0,0,0
2023/7/6,144.06,-0.401,-0.3,0,1,0
2023/7/7,142.07,-1.3814,-0.7,0,1,0
2023/7/10,141.31,-0.5349,0.05,1,0,0
2023/7/11,140.37,-0.6652,-0.5,0,1,0
2023/7/12,138.5,-1.3322,-0.8,0,1,0
2023/7/13,138.03,0,0,0,0,0
2023/7/14,138.73,0,0,0,0,0
2023/7/17,138.71,0,0,0,0,0
