date,close,rate,mean,pos,neg,neu
2022/11/7,7.2296,0.6193,0,0,0,1
2022/11/8,7.2493,0.2725,0.5,1,0,0
2022/11/9,7.2419,-0.1021,0.4,1,0,0
2022/11/10,7.187,-0.7581,-0.7,0,1,0
2022/11/11,7.1083,-1.095,-0.5,0,1,0
2022/11/14,7.074,0,0,0,0,0
2022/11/15,7.0445,-0.417,0.5,1,0,0
2022/11/16,7.0889,0.6303,0.7,1,0,0
2022/11/17,7.1565,0.9536,0.7,1,0,0
2022/11/18,7.1196,-0.5156,-0.5,0,1,0
2022/11/21,7.1653,0.6419,0.7,1,0,0
2022/11/22,7.1399,-0.3545,-0.5,0,1,0
2022/11/23,7.1605,0.2885,0.5,1,0,0
2022/11/24,7.152,-0.1187,-0.2,0,1,0
2022/11/25,7.1654,0.1874,0.5,1,0,0
2022/11/28,7.2082,0.5973,0.7,1,0,0
2022/11/29,7.1593,-0.6784,-0.7,0,1,0
2022/11/30,7.0925,-0.9331,-0.7,0,1,0
2022/12/1,7.0445,-0.6768,0.5,1,0,0
2022/12/2,7.0195,-0.3549,0.5,1,0,0
2022/12/5,6.962,-0.8191,-0.7,0,1,0
2022/12/6,6.996,0.4884,0.2,1,0,0
2022/12/7,6.9718,-0.3459,-0.5,0,1,0
2022/12/8,6.9674,0,0,0,0,0
2022/12/9,6.9584,-0.1292,0.2,1,0,0
2022/12/12,6.9776,0.2759,-0.2,0,1,0
2022/12/13,6.9445,-0.4744,0.5,1,0,0
2022/12/14,6.9509,0.0922,-0.7,0,1,0
2022/12/15,6.9738,0.3295,0.5,1,0,0
2022/12/16,6.9733,-0.0072,-0.5,0,1,0
2022/12/19,6.9797,0.0918,0,0,0,1
2022/12/20,6.9619,-0.255,0.2,1,0,0
2022/12/21,6.9815,0.2815,0.2,1,0,0
2022/12/22,6.9845,0.043,0.5,1,0,0
2022/12/23,6.9899,0.0773,0.5,1,0,0
2022/12/26,6.9622,-0.3963,-0.2,0,1,0
2022/12/27,6.9601,0,0,0,0,0
2022/12/28,6.9787,0.2672,0.5,1,0,0
2022/12/29,6.9638,-0.2135,-0.5,0,1,0
2022/12/30,6.8986,-0.9363,-0.7,0,1,0
2023/1/2,6.8986,0,-0.2,0,1,0
2023/1/3,6.915,0.2377,-0.5,0,1,0
2023/1/4,6.8888,-0.3789,-0.5,0,1,0
2023/1/5,6.882,-0.0987,-0.5,0,1,0
2023/1/6,6.8385,-0.6321,-0.2,0,1,0
2023/1/9,6.7725,-0.9651,-0.7,0,1,0
2023/1/10,6.7785,0.0886,-0.5,0,1,0
2023/1/11,6.7705,0,0,0,0,0
2023/1/12,6.7388,-0.4682,-0.5,0,1,0
2023/1/13,6.703,0,0,0,0,0
2023/1/16,6.7336,0.4565,0.5,1,0,0
2023/1/17,6.7739,0.5985,0.5,1,0,0
2023/1/18,6.7485,-0.375,-0.5,0,1,0
2023/1/19,6.7769,0.4208,0.2,1,0,0
2023/1/20,6.7845,0.1121,-0.2,0,1,0
2023/1/23,6.7845,0,0,0,0,0
2023/1/24,6.7845,0,0.2,1,0,0
2023/1/25,6.7845,0,0,0,0,0
2023/1/26,6.7845,0,-0.5,0,1,0
2023/1/27,6.7845,0,0.5,1,0,0
2023/1/30,6.7495,-0.5159,0,0,0,1
2023/1/31,6.7547,0,0,0,0,0
2023/2/1,6.7419,-0.1895,0,0,0,1
2023/2/2,6.7323,0,0,0,0,0
2023/2/3,6.7749,0.6328,0.7,1,0,0
2023/2/6,6.7954,0.3026,0.5,1,0,0
2023/2/7,6.7927,-0.0397,-0.5,0,1,0
2023/2/8,6.7891,0,0,0,0,0
2023/2/9,6.7806,0,0,0,0,0
2023/2/10,6.8095,0,0,0,0,0
2023/2/13,6.8231,0.1997,0.5,1,0,0
2023/2/14,6.8269,0.0557,-0.2,0,1,0
2023/2/15,6.853,0.3823,0.5,1,0,0
2023/2/16,6.8606,0.1109,0,0,0,1
2023/2/17,6.8676,0.102,0.5,1,0,0
2023/2/20,6.8552,0,0,0,0,0
2023/2/21,6.8735,0.267,0.5,1,0,0
2023/2/22,6.8923,0,0,0,0,0
2023/2/23,6.9081,0.2292,-0.2,0,1,0
2023/2/24,6.9563,0.6977,0.7,1,0,0
2023/2/27,6.945,-0.1624,0,0,0,1
2023/2/28,6.9334,-0.167,0.4,1,0,0
2023/3/1,6.8691,-0.9274,-0.7,0,1,0
2023/3/2,6.9153,0.6726,0.7,1,0,0
2023/3/3,6.9074,0,0,0,0,0
2023/3/6,6.93,0.3272,0,0,0,1
2023/3/7,6.9628,0.4733,0.2,1,0,0
2023/3/8,6.9516,-0.1609,-0.5,0,1,0
2023/3/9,6.9648,0.1899,-0.2,0,1,0
2023/3/10,6.9063,-0.8399,-0.7,0,1,0
2023/3/13,6.8465,-0.8659,-0.8,0,1,0
