date,close,rate,mean,pos,neg,neu
2022/12/9,1.2255,0.1798,-0.18,0,1,0
2022/12/12,1.227,0.1224,0.37,1,0,0
2022/12/13,1.2354,0.6846,0.95,1,0,0
2022/12/14,1.2421,0.5423,0.08,1,0,0
2022/12/15,1.2176,-1.9725,-0.63,0,1,0
2022/12/16,1.214,-0.2957,-1.01,0,1,0
2022/12/19,1.2146,0.0494,0.4,1,0,0
2022/12/20,1.2181,0.2882,0.2,1,0,0
2022/12/21,1.2083,-0.8045,-0.49,0,1,0
2022/12/22,1.2043,-0.331,-0.51,0,1,0
2022/12/23,1.2058,0.1246,-0.4,0,1,0
2022/12/26,1.206,0.0166,0,0,0,0
2022/12/27,1.2021,-0.3234,0.26,1,0,0
2022/12/28,1.2013,-0.0666,0.66,1,0,0
2022/12/29,1.2052,0.3246,0.32,1,0,0
2022/12/30,1.2097,0.3734,0.15,1,0,0
2023/1/2,1.2045,-0.4299,0,0,0,0
2023/1/3,1.1966,-0.6559,-0.48,0,1,0
2023/1/4,1.2053,0.7271,0.29,1,0,0
2023/1/5,1.1906,-1.2196,-0.68,0,1,0
2023/1/6,1.2092,1.5622,0.35,1,0,0
2023/1/9,1.2183,0.7526,0.68,1,0,0
2023/1/10,1.2155,-0.2298,-0.5,0,1,0
2023/1/11,1.2142,-0.107,-0.3,0,1,0
2023/1/12,1.22,0.4777,0.6,1,0,0
2023/1/13,1.2226,0.2131,0,0,0,0
2023/1/16,1.2191,-0.2863,0.45,1,0,0
2023/1/17,1.2288,0.7957,0.2,1,0,0
2023/1/18,1.2346,0.472,0.57,1,0,0
2023/1/19,1.2389,0.3483,-0.07,0,1,0
2023/1/20,1.2393,0.0323,0.05,1,0,0
2023/1/23,1.2373,-0.1614,0.18,1,0,0
2023/1/24,1.2328,-0.3637,0.4,1,0,0
2023/1/25,1.24,0.584,0,0,0,0
2023/1/26,1.2406,0.0484,0,0,0,0
2023/1/27,1.2397,-0.0725,0,0,0,0
2023/1/30,1.2352,-0.363,0,0,0,0
2023/1/31,1.232,-0.2591,0,0,0,0
2023/2/1,1.2376,0.4545,0,0,0,0
2023/2/2,1.2223,-1.2363,-0.7,0,1,0
2023/2/3,1.2051,-1.4072,-0.53,0,1,0
2023/2/6,1.2016,-0.2904,0,0,0,0
2023/2/7,1.2042,0.2164,-0.4,0,1,0
2023/2/8,1.2071,0.2408,0.4,1,0,0
2023/2/9,1.2122,0.4225,0.63,1,0,0
2023/2/10,1.2058,-0.528,-0.2,0,1,0
2023/2/13,1.2135,0.6386,0.4,1,0,0
2023/2/14,1.217,0.2884,0.67,1,0,0
2023/2/15,1.2026,-1.1832,-0.78,0,1,0
2023/2/16,1.1993,-0.2744,0,0,0,0
2023/2/17,1.2035,0.3502,-0.5,0,1,0
2023/2/20,1.2038,0.0249,0,0,0,0
2023/2/21,1.2115,0.6396,0.35,1,0,0
2023/2/22,1.2044,-0.5861,0,0,0,0
2023/2/23,1.2013,-0.2574,0,0,0,0
2023/2/24,1.1944,-0.5744,-0.3,0,1,0
2023/2/27,1.2062,0.9879,0.5,1,0,0
2023/2/28,1.202,-0.3482,0.57,1,0,0
2023/3/1,1.2031,0.0915,0.1,1,0,0
2023/3/2,1.1941,-0.7481,-0.7,0,1,0
2023/3/3,1.204,0.8291,0.5,1,0,0
2023/3/6,1.2021,-0.1578,0,0,0,0
2023/3/7,1.1827,-1.6138,0,0,0,0
2023/3/8,1.1842,0.1268,0,0,0,0
2023/3/9,1.1925,0.7009,0,0,0,0
2023/3/10,1.2028,0.8637,0,0,0,0
2023/3/13,1.2181,1.272,0,0,0,0
2023/3/14,1.2158,-0.1888,0,0,0,0
2023/3/15,1.2065,-0.7649,-0.8,0,1,0
2023/3/16,1.2107,0.3481,0.4,1,0,0
2023/3/17,1.2175,0.5617,0,0,0,0
2023/3/20,1.2276,0.8296,0.6,1,0,0
2023/3/21,1.2214,-0.5051,0.05,1,0,0
2023/3/22,1.2264,0.4094,0.67,1,0,0
2023/3/23,1.2285,0.1712,0.7,1,0,0
2023/3/24,1.223,-0.4477,-0.7,0,1,0
2023/3/27,1.2284,0.4415,0.5,1,0,0
2023/3/28,1.234,0.4559,0.5,1,0,0
2023/3/29,1.2311,-0.235,0.4,1,0,0
2023/3/30,1.2383,0.5848,0.2,1,0,0
2023/3/31,1.2333,-0.4038,0,0,0,0
2023/4/3,1.2411,0.6324,0.55,1,0,0
2023/4/4,1.2499,0.709,0.7,1,0,0
2023/4/5,1.2457,-0.336,-0.5,0,1,0
2023/4/6,1.2439,-0.1445,0,0,0,0
2023/4/7,1.2413,-0.209,0,0,0,0
2023/4/10,1.2381,-0.2578,-0.4,0,1,0
2023/4/11,1.2424,0.3473,0.5,1,0,0
2023/4/12,1.2481,0.4588,0.5,1,0,0
2023/4/13,1.252,0.3125,0,0,0,0
2023/4/14,1.2413,-0.8546,0,0,0,0
2023/4/17,1.2374,-0.3142,0,0,0,0
